<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
NRO.US,D,20050225,000000,4.64773,4.73362,4.64268,4.73362,154492.0806402,0
NRO.US,D,20050228,000000,4.72959,4.75839,4.69072,4.69487,190650.36838825,0
NRO.US,D,20050301,000000,4.71448,4.77293,4.69786,4.77293,152722.31060396,0
NRO.US,D,20050302,000000,4.76272,4.79735,4.75378,4.7937,153982.77896812,0
NRO.US,D,20050303,000000,4.79735,4.81303,4.78881,4.81303,155999.7414477,0
NRO.US,D,20050304,000000,4.81303,4.87178,4.81303,4.86746,250571.09523808,0
NRO.US,D,20050307,000000,4.87994,4.90791,4.86462,4.89533,214942.35337081,0
NRO.US,D,20050308,000000,4.89533,4.89533,4.86022,4.86462,121366.16226184,0
NRO.US,D,20050309,000000,4.853,4.853,4.72959,4.78027,215443.13116553,0
NRO.US,D,20050310,000000,4.7459,4.75005,4.66662,4.7096,123888.16447483,0
NRO.US,D,20050311,000000,4.70621,4.70621,4.63076,4.66662,229085.59687528,0
NRO.US,D,20050314,000000,4.67119,4.69487,4.65056,4.69487,188631.27493934,0
NRO.US,D,20050315,000000,4.68706,4.73362,4.68246,4.68706,190142.13220085,0
NRO.US,D,20050316,000000,4.66662,4.67918,4.61218,4.63471,178258.78168064,0
NRO.US,D,20050317,000000,4.61218,4.66662,4.61218,4.65855,194204.82524608,0
NRO.US,D,20050318,000000,4.627,4.64773,4.57961,4.61218,269794.56964727,0
NRO.US,D,20050321,000000,4.58429,4.60374,4.50509,4.51288,346660.76468265,0
NRO.US,D,20050322,000000,4.51288,4.55191,4.46483,4.46895,272577.61560432,0
NRO.US,D,20050323,000000,4.46895,4.46895,4.33089,4.39848,237680.86170507,0
NRO.US,D,20050324,000000,4.40176,4.46098,4.40176,4.42944,228829.88055459,0
NRO.US,D,20050328,000000,4.44126,4.45786,4.41395,4.42559,269794.56964727,0
NRO.US,D,20050329,000000,4.41742,4.44942,4.38222,4.40935,139322.77539889,0
NRO.US,D,20050330,000000,4.41395,4.4531,4.39848,4.44539,111249.38532385,0
NRO.US,D,20050331,000000,4.47647,4.51589,4.46098,4.50837,147411.93501059,0
NRO.US,D,20050401,000000,4.52771,4.56027,4.50837,4.55191,232877.65681445,0
NRO.US,D,20050404,000000,4.55652,4.56027,4.50837,4.50837,83700.213706292,0
NRO.US,D,20050405,000000,4.50837,4.53248,4.50509,4.51992,124152.4046729,0
NRO.US,D,20050406,000000,4.53248,4.54404,4.51288,4.53248,98865.257008925,0
NRO.US,D,20050407,000000,4.53248,4.56027,4.51992,4.55652,142349.81734526,0
NRO.US,D,20050408,000000,4.55652,4.63471,4.54817,4.55652,92036.565761362,0
NRO.US,D,20050411,000000,4.5719,4.5719,4.51589,4.55652,104933.19220237,0
NRO.US,D,20050412,000000,4.48904,4.60728,4.46483,4.58429,242476.60820301,0
