<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
OUST-WS-A.US,D,20230216,000000,0.34,1.5,0.265,0.42,27449,0
OUST-WS-A.US,D,20230217,000000,0.42,0.42,0.325,0.3251,7108,0
OUST-WS-A.US,D,20230221,000000,0.34,0.3445,0.34,0.3445,570,0
OUST-WS-A.US,D,20230222,000000,0.35,0.35,0.35,0.35,317,0
OUST-WS-A.US,D,20230223,000000,0.245,0.2998,0.245,0.26,56924,0
OUST-WS-A.US,D,20230224,000000,0.31,0.31,0.31,0.31,2279,0
OUST-WS-A.US,D,20230227,000000,0.26,0.299899,0.26,0.28,5235,0
OUST-WS-A.US,D,20230228,000000,0.2301,0.2965,0.2301,0.2965,7106,0
OUST-WS-A.US,D,20230301,000000,0.26,0.2966,0.2372,0.2727,7872,0
OUST-WS-A.US,D,20230302,000000,0.27,0.27,0.2066,0.24,5128,0
OUST-WS-A.US,D,20230303,000000,0.2051,0.25,0.205,0.2375,1500,0
OUST-WS-A.US,D,20230306,000000,0.25,0.25,0.2221,0.2395,4095,0
OUST-WS-A.US,D,20230307,000000,0.205,0.24,0.205,0.24,8469,0
OUST-WS-A.US,D,20230308,000000,0.205,0.24,0.205,0.24,1625,0
OUST-WS-A.US,D,20230309,000000,0.22,0.2297,0.22,0.22,6665,0
OUST-WS-A.US,D,20230310,000000,0.22,0.22,0.21,0.22,1415,0
OUST-WS-A.US,D,20230313,000000,0.2401,0.25,0.2,0.2347,8903,0
OUST-WS-A.US,D,20230314,000000,0.24,0.2697,0.24,0.25,4282,0
OUST-WS-A.US,D,20230315,000000,0.24,0.272999,0.19,0.272999,3125,0
OUST-WS-A.US,D,20230316,000000,0.27,0.2706,0.27,0.2706,530,0
OUST-WS-A.US,D,20230317,000000,0.28,0.28,0.2221,0.2675,2980,0
OUST-WS-A.US,D,20230320,000000,0.08,0.23,0.08,0.142,12520,0
