<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
RHEP.US,D,20171002,000000,11.652,13.2,10.2,12,650,0
RHEP.US,D,20171003,000000,10.932,12,10.932,11.976,1318,0
RHEP.US,D,20171004,000000,11.868,11.88,10.918,10.918,1215,0
RHEP.US,D,20171005,000000,11.028,11.04,10.68,10.68,1840,0
RHEP.US,D,20171006,000000,10.68,10.68,10.201,10.68,2564,0
RHEP.US,D,20171009,000000,10.44,10.441,9.983,9.983,1820,0
RHEP.US,D,20171010,000000,10.439,10.56,10.2,10.2,1137,0
RHEP.US,D,20171011,000000,9.6,10.56,8.16,10.2,1393,0
RHEP.US,D,20171012,000000,10.56,10.56,9.36,9.6,1109,0
RHEP.US,D,20171013,000000,9.79,10.428,9,9,2875,0
RHEP.US,D,20171016,000000,8.8476,9,8.8476,9,289,0
RHEP.US,D,20171017,000000,8.9076,9.6,8.88,8.88,357,0
RHEP.US,D,20171018,000000,9,9.2376,8.4,8.52,1647,0
RHEP.US,D,20171019,000000,8.4,8.4,6,6.6,8290,0
RHEP.US,D,20171020,000000,7.2,7.8,6.2412,6.828,1782,0
RHEP.US,D,20171023,000000,6.96,9.12,5.3052,6.036,13294,0
RHEP.US,D,20171024,000000,6.36,7.2,5.76,6.96,9657,0
RHEP.US,D,20171025,000000,6.6,8.616,6.6,7.44,7162,0
RHEP.US,D,20171026,000000,7.2,7.44,5.916,6.48,3016,0
RHEP.US,D,20171027,000000,6.6,6.612,6.48,6.6,2016,0
RHEP.US,D,20171030,000000,6.72,6.72,5.52,6.12,971,0
RHEP.US,D,20171031,000000,5.88,6.24,5.64,6.24,4803,0
RHEP.US,D,20171101,000000,6.1512,6.18,5.76,5.76,1659,0
RHEP.US,D,20171102,000000,5.28,9,4.956,9,6056,0
RHEP.US,D,20171103,000000,7.08,7.08,4.8,5.1606,7242,0
RHEP.US,D,20171106,000000,5.418,5.8296,4.8,5.04,20961,0
RHEP.US,D,20171107,000000,5.268,5.268,4.44,4.8,20673,0
RHEP.US,D,20171108,000000,4.8,4.824,4.56,4.7832,9511,0
RHEP.US,D,20171109,000000,4.824,5.1672,4.5948,4.8,16843,0
RHEP.US,D,20171110,000000,3.84,4.2,3.6,3.7248,12271,0
RHEP.US,D,20171113,000000,3.9108,3.9648,3.42,3.6,7458,0
RHEP.US,D,20171114,000000,3.618,3.618,2.4408,2.6472,7965,0
RHEP.US,D,20171115,000000,2.88,4.74,2.736,3,27510,0
RHEP.US,D,20171116,000000,3.48,3.48,2.772,3,11138,0
RHEP.US,D,20171117,000000,3.12,3.12,2.64,2.8824,8191,0
RHEP.US,D,20171120,000000,2.988,3.3072,2.988,3.2184,6961,0
RHEP.US,D,20171121,000000,3.3564,3.3564,3.12,3.24,12810,0
RHEP.US,D,20171122,000000,3.2712,3.3564,3,3.246,3787,0
RHEP.US,D,20171124,000000,3.36,3.462,3.36,3.42,1278,0
RHEP.US,D,20171127,000000,3.36,3.4116,3,3,6800,0
RHEP.US,D,20171128,000000,3.15,3.21,2.76,2.82,4702,0
RHEP.US,D,20171129,000000,2.76,3.18,2.76,3.0024,2668,0
RHEP.US,D,20171130,000000,3.2424,3.3,3,3.1236,7361,0
RHEP.US,D,20171201,000000,3.12,3.1584,2.88,3.12,8015,0
RHEP.US,D,20171204,000000,2.88,3.36,2.88,3.276,2013,0
RHEP.US,D,20171205,000000,2.88,3.24,2.88,3.1848,3071,0
RHEP.US,D,20171206,000000,3.0648,3.1224,2.886,3.12,2982,0
RHEP.US,D,20171207,000000,3.0756,3.36,2.82,2.82,5284,0
RHEP.US,D,20171208,000000,2.9004,3.48,2.82,3.12,7420,0
RHEP.US,D,20171211,000000,2.76,3,2.76,2.8692,5516,0
RHEP.US,D,20171212,000000,2.82,2.898,2.76,2.76,13737,0
RHEP.US,D,20171213,000000,2.7744,2.982,2.43,2.7204,10207,0
RHEP.US,D,20171214,000000,2.7252,2.8176,2.382,2.8176,9836,0
RHEP.US,D,20171215,000000,2.58,2.64,1.9728,2.4288,9206,0
RHEP.US,D,20171218,000000,2.16,2.9988,2.04,2.9988,17694,0
RHEP.US,D,20171219,000000,3,3,2.406,2.76,2942,0
RHEP.US,D,20171220,000000,2.88,2.88,2.28,2.52,4810,0
RHEP.US,D,20171221,000000,2.52,2.52,2.3868,2.4,2527,0
RHEP.US,D,20171222,000000,2.4,2.6196,2.16,2.52,28031,0
RHEP.US,D,20171226,000000,2.52,2.52,2.28,2.28,7728,0
RHEP.US,D,20171227,000000,2.2812,2.5104,1.956,1.956,16248,0
RHEP.US,D,20171228,000000,2.058,2.4468,1.92,2.2104,22820,0
RHEP.US,D,20171229,000000,2.4,2.4,2.04,2.04,14796,0
RHEP.US,D,20180102,000000,2.4,2.64,2.142,2.328,10254,0
RHEP.US,D,20180103,000000,2.64,3.36,2.4768,3.12,24524,0
RHEP.US,D,20180104,000000,3.276,3.276,2.5812,2.76,10319,0
RHEP.US,D,20180105,000000,2.898,2.9976,2.46,2.592,6497,0
RHEP.US,D,20180108,000000,2.592,2.592,2.466,2.466,5141,0
RHEP.US,D,20180109,000000,2.5884,2.592,2.466,2.4685,6708,0
RHEP.US,D,20180110,000000,2.4,2.592,2.4,2.4684,9598,0
RHEP.US,D,20180111,000000,2.592,5.16,2.592,5.04,214245,0
RHEP.US,D,20180112,000000,5.4,5.9976,3.8064,4.1232,149414,0
RHEP.US,D,20180116,000000,5.04,5.04,3.24,3.72,36085,0
RHEP.US,D,20180117,000000,3.5808,3.714,3.372,3.42,13797,0
RHEP.US,D,20180118,000000,4.56,4.56,3.3012,3.48,37189,0
RHEP.US,D,20180119,000000,3,3.9576,3,3.36,18334,0
RHEP.US,D,20180122,000000,3.126,3.36,3.06,3.1368,8561,0
RHEP.US,D,20180123,000000,2.76,3.2472,2.706,2.9904,12923,0
