<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
SILV.US,D,20180822,000000,2.36,2.42,2.15,2.42,30774,0
SILV.US,D,20180823,000000,2.18,2.54,2.18,2.4,93253,0
SILV.US,D,20180824,000000,2.4042,2.51,2.38,2.4493,77766,0
SILV.US,D,20180827,000000,2.47,2.51,2.4459,2.4968,22985,0
SILV.US,D,20180828,000000,2.5,2.6,2.4532,2.6,44061,0
SILV.US,D,20180829,000000,2.6,2.6,2.51,2.56,43727,0
SILV.US,D,20180830,000000,2.5,2.58,2.45,2.52,27780,0
SILV.US,D,20180831,000000,2.49,2.57,2.39,2.45,72712,0
SILV.US,D,20180904,000000,2.45,2.55,2.36,2.4,56234,0
SILV.US,D,20180905,000000,2.36,2.5,2.32,2.4,63199,0
SILV.US,D,20180906,000000,2.43,2.455,2.2801,2.44,27701,0
SILV.US,D,20180907,000000,2.5,2.5,2.3247,2.37,28773,0
SILV.US,D,20180910,000000,2.4,2.4,2.3,2.32,28149,0
SILV.US,D,20180911,000000,2.3,2.32,2.2,2.2478,57432,0
SILV.US,D,20180912,000000,2.24,2.48,2.23,2.43,56043,0
SILV.US,D,20180913,000000,2.5,2.5,2.402,2.4258,50866,0
SILV.US,D,20180914,000000,2.42,2.45,2.39,2.415,13818,0
SILV.US,D,20180917,000000,2.44,2.5,2.43,2.4459,31418,0
SILV.US,D,20180918,000000,2.476,2.4985,2.35,2.35,62038,0
SILV.US,D,20180919,000000,2.4,2.56,2.3,2.5,87747,0
SILV.US,D,20180920,000000,2.5,2.71,2.5,2.5712,103538,0
SILV.US,D,20180921,000000,2.59,2.62,2.45,2.56,15014,0
SILV.US,D,20180924,000000,2.54,2.5632,2.4259,2.45,25084,0
SILV.US,D,20180925,000000,2.48,2.49,2.47,2.49,7738,0
SILV.US,D,20180926,000000,2.48,2.49,2.4301,2.4492,32446,0
SILV.US,D,20180927,000000,2.44,2.4699,2.4,2.41,17601,0
