<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
SOAR.US,D,20220124,000000,10.05,10.05,10,10,901,0
SOAR.US,D,20220126,000000,9.87,9.87,9.87,9.87,348032,0
SOAR.US,D,20220128,000000,9.8,9.8,9.8,9.8,400,0
SOAR.US,D,20220201,000000,9.92,9.92,9.92,9.92,101,0
SOAR.US,D,20220202,000000,9.81,9.83,9.81,9.83,775,0
SOAR.US,D,20220204,000000,9.84,9.84,9.84,9.84,100,0
SOAR.US,D,20220208,000000,9.84,9.84,9.84,9.84,100,0
SOAR.US,D,20220209,000000,9.93,9.93,9.815,9.815,5997,0
SOAR.US,D,20220211,000000,9.81,9.81,9.81,9.81,100,0
SOAR.US,D,20220216,000000,9.85,9.85,9.84,9.84,101076,0
SOAR.US,D,20220217,000000,9.84,9.84,9.84,9.84,55724,0
SOAR.US,D,20220223,000000,9.82,9.82,9.82,9.82,675,0
SOAR.US,D,20220224,000000,9.8,9.84,9.8,9.83,26408,0
SOAR.US,D,20220228,000000,9.84,9.85,9.84,9.84,4100,0
SOAR.US,D,20220301,000000,9.85,9.85,9.85,9.85,10501,0
SOAR.US,D,20220302,000000,9.84,9.84,9.84,9.84,514,0
SOAR.US,D,20220304,000000,9.86,9.88,9.86,9.88,13620,0
SOAR.US,D,20220307,000000,9.88,9.88,9.88,9.88,15000,0
SOAR.US,D,20220308,000000,9.89,9.89,9.88,9.88,6649,0
SOAR.US,D,20220310,000000,9.87,9.87,9.86,9.87,396202,0
SOAR.US,D,20220317,000000,9.89,9.89,9.88,9.88,14460,0
SOAR.US,D,20220323,000000,9.88,9.89,9.88,9.88,1290,0
SOAR.US,D,20220328,000000,9.9,9.9,9.89,9.9,91602,0
SOAR.US,D,20220331,000000,9.91,9.91,9.9,9.9,2600,0
SOAR.US,D,20220401,000000,9.85,9.92,9.84,9.91,141049,0
SOAR.US,D,20220404,000000,9.885,9.89,9.88,9.88,28840,0
SOAR.US,D,20220405,000000,9.89,9.89,9.89,9.89,5595,0
SOAR.US,D,20220406,000000,9.91,9.91,9.91,9.91,112,0
SOAR.US,D,20220407,000000,9.9,9.92,9.9,9.92,1331,0
SOAR.US,D,20220408,000000,9.9,9.9,9.9,9.9,2600,0
SOAR.US,D,20220411,000000,9.905,9.905,9.905,9.905,100,0
SOAR.US,D,20220412,000000,9.88,9.88,9.88,9.88,140,0
SOAR.US,D,20220413,000000,9.94,9.95,9.93,9.95,1539,0
SOAR.US,D,20220414,000000,9.94,9.94,9.94,9.94,2632,0
SOAR.US,D,20220419,000000,9.9,9.92,9.9,9.9,6193,0
SOAR.US,D,20220420,000000,9.94,9.94,9.92,9.92,382,0
SOAR.US,D,20220425,000000,9.97,9.99,9.94,9.94,1966,0
SOAR.US,D,20220428,000000,9.92,9.92,9.92,9.92,200,0
SOAR.US,D,20220504,000000,9.98,9.98,9.98,9.98,163,0
SOAR.US,D,20220505,000000,9.93,9.93,9.93,9.93,200,0
SOAR.US,D,20220506,000000,9.95,9.95,9.92,9.92,1137,0
SOAR.US,D,20220511,000000,9.91,9.91,9.91,9.91,25100,0
SOAR.US,D,20220512,000000,9.91,9.91,9.86,9.86,7205,0
SOAR.US,D,20220513,000000,9.88,9.88,9.87,9.87,20241,0
SOAR.US,D,20220517,000000,9.87,9.87,9.86,9.86,22600,0
SOAR.US,D,20220520,000000,9.86,9.86,9.86,9.86,31531,0
SOAR.US,D,20220523,000000,9.885,9.885,9.85,9.85,40400,0
SOAR.US,D,20220525,000000,9.87,9.87,9.87,9.87,50002,0
SOAR.US,D,20220527,000000,9.87,9.9,9.87,9.9,61335,0
SOAR.US,D,20220531,000000,9.87,9.95,9.87,9.92,10400,0
SOAR.US,D,20220601,000000,9.87,9.87,9.8698,9.87,609646,0
SOAR.US,D,20220602,000000,9.92,9.92,9.92,9.92,108124,0
SOAR.US,D,20220603,000000,9.89,9.9,9.88,9.89,175156,0
SOAR.US,D,20220606,000000,9.89,9.9,9.89,9.89,427507,0
SOAR.US,D,20220607,000000,9.89,9.89,9.89,9.89,906,0
SOAR.US,D,20220623,000000,9.9,9.91,9.88,9.91,14300,0
SOAR.US,D,20220630,000000,9.88,9.89,9.88,9.89,4252,0
SOAR.US,D,20220705,000000,9.925,9.925,9.925,9.925,68783,0
SOAR.US,D,20220706,000000,9.92,9.92,9.92,9.92,22531,0
SOAR.US,D,20220708,000000,9.92,9.92,9.92,9.92,79790,0
SOAR.US,D,20220711,000000,9.91,9.91,9.91,9.91,195,0
SOAR.US,D,20220714,000000,9.94,9.96,9.9,9.92,51175,0
SOAR.US,D,20220715,000000,9.95,9.95,9.95,9.95,49182,0
SOAR.US,D,20220726,000000,9.95,9.95,9.95,9.95,100000,0
SOAR.US,D,20220727,000000,9.95,9.9799,9.92,9.95,61977,0
SOAR.US,D,20220728,000000,9.94,9.965,9.94,9.965,2386,0
SOAR.US,D,20220729,000000,9.96,9.96,9.9401,9.9401,400,0
SOAR.US,D,20220802,000000,9.96,9.96,9.95,9.95,126198,0
SOAR.US,D,20220803,000000,9.95,9.95,9.95,9.95,858,0
SOAR.US,D,20220808,000000,9.95,9.95,9.93,9.94,106248,0
SOAR.US,D,20220809,000000,9.94,9.94,9.94,9.94,46855,0
SOAR.US,D,20220811,000000,9.94,9.95,9.94,9.95,3838,0
SOAR.US,D,20220815,000000,9.93,9.93,9.93,9.93,110,0
