<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
ZOM.US,D,20171121,000000,2.35,2.45,2.18,2.3887,18059,0
ZOM.US,D,20171122,000000,2.4085,2.43,2.395,2.395,16003,0
ZOM.US,D,20171124,000000,2.4,2.4,2.38,2.38,3052,0
ZOM.US,D,20171127,000000,2.4,2.4,2.3364,2.4,10518,0
ZOM.US,D,20171128,000000,2.4,2.4,2.3565,2.4,709,0
ZOM.US,D,20171129,000000,2.4,2.47,2.34,2.4,25815,0
ZOM.US,D,20171130,000000,2.4,2.4,2.3,2.3954,12018,0
ZOM.US,D,20171201,000000,2.4,2.449,2.18,2.23,35900,0
ZOM.US,D,20171204,000000,2.2,2.34,1.97,2.34,8459,0
ZOM.US,D,20171205,000000,2.3389,2.38,2.25,2.25,21231,0
ZOM.US,D,20171206,000000,2.29,2.29,2.007,2.1815,22134,0
ZOM.US,D,20171207,000000,2.25,2.25,2.145,2.23,21873,0
ZOM.US,D,20171208,000000,2.24,2.25,2.1488,2.25,13405,0
ZOM.US,D,20171211,000000,2.3,2.3,2.2,2.28,11908,0
ZOM.US,D,20171212,000000,2.29,2.29,2.18,2.18,36926,0
ZOM.US,D,20171213,000000,2.29,2.29,2.15,2.2,45142,0
ZOM.US,D,20171214,000000,2.25,2.329,2.2,2.2302,34045,0
ZOM.US,D,20171215,000000,2.3,2.3,2.14,2.25,18672,0
ZOM.US,D,20171218,000000,2.33,2.33,2,2.23,13036,0
ZOM.US,D,20171219,000000,2.1501,2.16,2.1501,2.1501,7504,0
ZOM.US,D,20171220,000000,2.33,2.33,2.15,2.15,15078,0
ZOM.US,D,20171221,000000,2.19,2.2,1.95,2.04,100530,0
ZOM.US,D,20171222,000000,2.14,2.14,1.8801,2.0492,20414,0
ZOM.US,D,20171226,000000,2.011,2.15,2,2.057,14660,0
ZOM.US,D,20171227,000000,2.09,2.09,1.99,1.9901,10469,0
ZOM.US,D,20171228,000000,1.95,2.1,1.88,1.94,16104,0
ZOM.US,D,20171229,000000,1.95,2.07,1.91,1.9771,37778,0
ZOM.US,D,20180102,000000,2,2.0599,1.8101,1.9,22591,0
ZOM.US,D,20180103,000000,1.9,1.9,1.8,1.88,14555,0
ZOM.US,D,20180104,000000,1.9,1.9,1.85,1.85,6039,0
ZOM.US,D,20180105,000000,1.85,2,1.7906,1.99,33562,0
ZOM.US,D,20180108,000000,2,2.04,1.89,2.03,12975,0
ZOM.US,D,20180109,000000,2.05,2.05,1.99,1.99,9706,0
ZOM.US,D,20180110,000000,2.0215,2.04,2.01,2.04,14475,0
ZOM.US,D,20180111,000000,2.01,2.15,1.9206,2.08,49781,0
ZOM.US,D,20180112,000000,2,2.08,1.95,2,40637,0
ZOM.US,D,20180116,000000,1.9899,2,1.9719,2,7278,0
ZOM.US,D,20180117,000000,2,2,1.9067,2,6787,0
ZOM.US,D,20180118,000000,1.91,2,1.9,1.99,26919,0
ZOM.US,D,20180119,000000,2,2,1.8585,1.94,36155,0
ZOM.US,D,20180122,000000,1.95,2,1.95,1.98,13729,0
ZOM.US,D,20180123,000000,2,2.025,1.99,1.9938,42332,0
ZOM.US,D,20180124,000000,1.98,1.98,1.9699,1.98,6227,0
ZOM.US,D,20180125,000000,1.9999,2,1.9916,2,11406,0
ZOM.US,D,20180126,000000,2,2.19,1.911,2.09,24109,0
ZOM.US,D,20180129,000000,2.09,2.1575,1.91,2,24638,0
ZOM.US,D,20180130,000000,1.96,2,1.95,2,9159,0
ZOM.US,D,20180131,000000,2,2.08,2,2.08,15318,0
ZOM.US,D,20180201,000000,2.07,2.08,2.069,2.08,7444,0
ZOM.US,D,20180202,000000,2,2,1.9598,1.99,24040,0
ZOM.US,D,20180205,000000,2,2,1.9748,2,7372,0
ZOM.US,D,20180206,000000,1.97,2,1.95,1.97,27437,0
ZOM.US,D,20180207,000000,2,2,1.91,1.99,18426,0
ZOM.US,D,20180208,000000,1.98,2,1.96,2,8644,0
ZOM.US,D,20180209,000000,2,2,1.95,1.9655,13140,0
ZOM.US,D,20180212,000000,1.99,2.33,1.99,2.1,17047,0
ZOM.US,D,20180213,000000,2.04,2.31,1.99,2,16077,0
ZOM.US,D,20180214,000000,2,2,1.9604,1.99,13272,0
ZOM.US,D,20180215,000000,2,2.25,2,2.25,8857,0
ZOM.US,D,20180216,000000,2.19,2.19,2.0858,2.13,16308,0
ZOM.US,D,20180220,000000,2.115,2.15,2.1,2.15,5403,0
ZOM.US,D,20180221,000000,2.15,2.15,2.02,2.07,7867,0
ZOM.US,D,20180222,000000,2.09,2.25,2.01,2.16,24198,0
ZOM.US,D,20180223,000000,2.26,2.27,1.99,2.06,30798,0
ZOM.US,D,20180226,000000,2,2.13,1.9967,2.03,61754,0
ZOM.US,D,20180227,000000,2.0797,2.1,2.0797,2.1,6216,0
ZOM.US,D,20180228,000000,2.09,2.1,1.9601,2.1,6752,0
ZOM.US,D,20180301,000000,2.1,2.1,2.0101,2.1,20931,0
ZOM.US,D,20180302,000000,2.1,2.1,2.05,2.08,5460,0
ZOM.US,D,20180305,000000,2.1,2.1,2.0401,2.1,14936,0
ZOM.US,D,20180306,000000,2.01,2.1,1.95,2.1,22318,0
ZOM.US,D,20180307,000000,1.97,2,1.97,1.9999,14210,0
ZOM.US,D,20180308,000000,2,2,1.75,2,69914,0
ZOM.US,D,20180309,000000,2,2.1,1.9336,2.05,19018,0
ZOM.US,D,20180312,000000,2.09,2.09,2.01,2.01,7092,0
ZOM.US,D,20180313,000000,2.12,2.12,1.94,2.07,14864,0
ZOM.US,D,20180314,000000,2.12,2.12,2.07,2.07,5543,0
ZOM.US,D,20180315,000000,2.09,2.1158,1.95,2.1,8852,0
ZOM.US,D,20180316,000000,1.94,2.1,1.94,2.1,4307,0
ZOM.US,D,20180319,000000,1.85,2.11,1.85,2.06,10233,0
ZOM.US,D,20180320,000000,2.11,2.2,2.07,2.07,18333,0
ZOM.US,D,20180321,000000,2.07,2.2,2.0203,2.2,10008,0
ZOM.US,D,20180322,000000,2.0501,2.2,2.0501,2.1,21373,0
ZOM.US,D,20180323,000000,2.1,2.2,2.0147,2.19,8536,0
ZOM.US,D,20180326,000000,2.11,2.2,2.065,2.2,10752,0
ZOM.US,D,20180327,000000,2.15,2.2,2.15,2.2,8739,0
ZOM.US,D,20180328,000000,2.2,2.2,2.1398,2.2,20363,0
ZOM.US,D,20180329,000000,2.2,2.2,2.164,2.2,12184,0
ZOM.US,D,20180402,000000,2.1,2.15,2.02,2.02,14708,0
ZOM.US,D,20180403,000000,2.2,2.2,2.02,2.05,12246,0
ZOM.US,D,20180404,000000,2.12,2.12,1.82,2.09,17365,0
ZOM.US,D,20180405,000000,2.12,2.12,2.09,2.09,8729,0
ZOM.US,D,20180406,000000,2.2,2.2,2.06,2.14,14069,0
ZOM.US,D,20180409,000000,2.13,2.14,2.011,2.14,7221,0
ZOM.US,D,20180410,000000,2.14,2.6,2.1174,2.14,38006,0
ZOM.US,D,20180411,000000,2.13,2.18,2,2.01,27880,0
ZOM.US,D,20180412,000000,2,2.03,1.949,2.01,23079,0
ZOM.US,D,20180413,000000,2,2.0899,1.971,2.02,14641,0
ZOM.US,D,20180416,000000,2.1,2.1,2,2,9052,0
ZOM.US,D,20180417,000000,1.95,2.03,1.95,1.99,7584,0
ZOM.US,D,20180418,000000,2.0397,2.0397,1.99,1.99,5974,0
ZOM.US,D,20180419,000000,2,2.02,1.93,1.99,9583,0
ZOM.US,D,20180420,000000,1.8601,2,1.86,2,13954,0
ZOM.US,D,20180423,000000,2,2.02,1.86,1.92,64846,0
ZOM.US,D,20180424,000000,1.98,2,1.86,1.95,11366,0
ZOM.US,D,20180425,000000,1.94,2,1.89,1.93,6381,0
ZOM.US,D,20180426,000000,1.9907,2,1.95,1.97,1138,0
ZOM.US,D,20180427,000000,1.9482,2,1.93,2,8674,0
ZOM.US,D,20180430,000000,2,2,1.95,1.97,6656,0
ZOM.US,D,20180501,000000,1.9977,2,1.95,1.95,14572,0
ZOM.US,D,20180502,000000,1.9001,2,1.9001,1.94,7226,0
ZOM.US,D,20180503,000000,1.94,1.99,1.91,1.91,11619,0
ZOM.US,D,20180504,000000,1.87,1.99,1.87,1.91,11589,0
ZOM.US,D,20180507,000000,1.92,1.99,1.86,1.92,23036,0
ZOM.US,D,20180508,000000,1.92,1.99,1.86,1.92,20355,0
ZOM.US,D,20180509,000000,1.95,2,1.88,1.9456,25637,0
ZOM.US,D,20180510,000000,1.9393,1.94,1.8902,1.93,13821,0
ZOM.US,D,20180511,000000,1.9,2,1.861,2,55021,0
ZOM.US,D,20180514,000000,2,2,1.86,1.9,19480,0
ZOM.US,D,20180515,000000,1.949,1.95,1.86,1.92,13029,0
ZOM.US,D,20180516,000000,1.86,2.01,1.86,1.93,6583,0
ZOM.US,D,20180517,000000,1.91,1.98,1.91,1.96,4916,0
ZOM.US,D,20180518,000000,1.92,1.98,1.92,1.98,12246,0
ZOM.US,D,20180521,000000,1.98,2.01,1.98,2,29548,0
ZOM.US,D,20180522,000000,2.01,2.01,1.9301,1.99,19568,0
ZOM.US,D,20180523,000000,1.95,1.9999,1.91,1.955,17055,0
ZOM.US,D,20180524,000000,1.92,1.99,1.91,1.91,3226,0
ZOM.US,D,20180525,000000,1.9489,1.97,1.91,1.97,2197,0
ZOM.US,D,20180529,000000,1.87,1.98,1.86,1.87,31875,0
ZOM.US,D,20180530,000000,1.86,1.9,1.86,1.88,12105,0
ZOM.US,D,20180531,000000,1.9,2.01,1.89,1.97,55324,0
ZOM.US,D,20180601,000000,1.95,2.01,1.86,1.86,59863,0
ZOM.US,D,20180604,000000,1.88,1.99,1.88,1.96,27057,0
ZOM.US,D,20180605,000000,1.93,1.98,1.881,1.9,33767,0
ZOM.US,D,20180606,000000,1.98,1.98,1.91,1.91,18131,0
ZOM.US,D,20180607,000000,1.93,1.95,1.91,1.94,21532,0
ZOM.US,D,20180608,000000,1.95,1.95,1.88,1.9,20385,0
ZOM.US,D,20180611,000000,1.9,1.95,1.89,1.9,49004,0
ZOM.US,D,20180612,000000,1.9,1.9,1.8,1.9,33193,0
ZOM.US,D,20180613,000000,1.9,1.95,1.865,1.9,26034,0
ZOM.US,D,20180614,000000,1.89,1.95,1.89,1.91,31629,0
ZOM.US,D,20180615,000000,1.9,1.95,1.75,1.75,93938,0
ZOM.US,D,20180618,000000,1.76,1.96,1.76,1.96,71640,0
ZOM.US,D,20180619,000000,1.95,1.95,1.85,1.9,90953,0
ZOM.US,D,20180620,000000,1.9,1.9,1.86,1.89,91914,0
ZOM.US,D,20180621,000000,1.9,2.02,1.85,2,142312,0
ZOM.US,D,20180622,000000,2,2.98,1.82,2.98,4360380,0
ZOM.US,D,20180625,000000,2.8,2.8,2.45,2.51,383791,0
ZOM.US,D,20180626,000000,2.5,2.585,2.4401,2.57,130004,0
ZOM.US,D,20180627,000000,2.53,2.53,2.14,2.28,307581,0
ZOM.US,D,20180628,000000,2.3,2.31,2.1188,2.23,128163,0
ZOM.US,D,20180629,000000,2.22,2.3,2.22,2.25,15987,0
