Symbol,Sector,Industry,NoEmployees,Profile
AA,Basic Materials,Aluminum,None,Alcoa Corporation together with its subsidiaries produces and sells bauxite alumina and aluminum products in the United States Spain Australia Iceland Norway Brazil Canada and internationally The company operates through two segments Alumina and Aluminum It engages in bauxite mining operations and processes bauxite into alumina and sells it to customers who process it into industrial chemical products as well as aluminum smelting and casting businesses The company offers primary aluminum in the form of alloy ingot or valueadd ingot to customers that produce products for the transportation building and construction packaging wire and other industrial markets and flatrolled aluminum in the form of sheet which is sold primarily to customers that produce beverage and food cans In addition it owns hydro power plants that generates and sells electricity in the wholesale market to traders large industrial consumers distribution companies and other generation companies The company was formerly known as Alcoa Upstream Corporation and changed its name to Alcoa Corporation in October 2016 The company was founded in 1886 and is headquartered in Pittsburgh Pennsylvania
AAL,Industrials,Airlines,133300,American Airlines Group Inc through its subsidiaries operates as a network air carrier The company provides scheduled air transportation services for passengers and cargo through its hubs in Charlotte Chicago DallasFort Worth Los Angeles Miami New York Philadelphia Phoenix and Washington DC as well as through partner gateways in London Doha Madrid SeattleTacoma Sydney and Tokyo It operates a mainline fleet of 965 aircraft The company was formerly known as AMR Corporation and changed its name to American Airlines Group Inc in December 2013 American Airlines Group Inc was founded in 1926 and is headquartered in Fort Worth Texas
AAOI,Technology,Communication Equipment,2149,Applied Optoelectronics Inc designs manufactures and sells fiberoptic networking products in the United States Taiwan and China It offers optical modules optical filters lasers laser components subassemblies transmitters and transceivers turnkey equipment headend node distribution equipment and amplifiers The company sells its products to internet data center operators cable television telecom equipment manufacturers fibertothehome and internet service providers through its direct and indirect sales channels Applied Optoelectronics Inc was incorporated in 1997 and is headquartered in Sugar Land Texas
AAON,Industrials,Building Products & Equipment,3856,AAON Inc together with its subsidiaries engages in engineering manufacturing marketing and selling air conditioning and heating equipment in the United States and Canada The company operates through three segments AAON Oklahoma AAON Coil Products and BASX It offers rooftop units data center cooling solutions cleanroom systems chillers packaged outdoor mechanical rooms air handling units makeup air units energy recovery units condensing units geothermalwatersource heat pumps coils and controls The company markets and sells its products to retail manufacturing educational lodging supermarket data centers medical and pharmaceutical and other commercial industries It sells its products through a network of independent manufacturer representative organizations and internal sales force as well as online The company was incorporated in 1987 and is based in Tulsa Oklahoma
AAP,Consumer Cyclical,Specialty Retail,40000,Advance Auto Parts Inc provides automotive replacement parts accessories batteries and maintenance items for domestic and imported cars vans sport utility vehicles and light and heavy duty trucks The company offers battery accessories belts and hoses brakes and brake pads chassis and climate control parts clutches and drive shafts engines and engine parts exhaust systems and parts hub assemblies ignition components and wires radiators and cooling parts starters and alternators and steering and alignment parts It also offers air conditioning chemicals and accessories air fresheners antifreeze and washer fluids electrical wires and fuses electronics floor mats seat covers and interior accessories hand and specialty tools lighting products performance parts sealants adhesives and compounds tire repair accessories vent shades mirrors and exterior accessories washes waxes and cleaning supplies and wiper blades In addition the company offers air filters fuel and oil additives fuel filters grease and lubricants motor oils oil filters part cleaners and treatments and transmission fluids for engine maintenance Further it offers battery and wiper installation engine light scanning and checking electrical system testing including batteries starters and alternators oil and battery recycling and loaner tool program services Additionally the company sells its products through its website It serves professional installers and doityourself customers The company operates stores under the Advance Auto Parts and Carquest names as well as branches under the Worldpac name The company has stores in the United States Puerto Rico the US Virgin Islands and Canada and independently owned Carquest branded stores in Mexico and various Caribbean Islands Advance Auto Parts Inc was founded in 1929 and is based in Raleigh North Carolina
AAPL,Technology,Consumer Electronics,150000,Apple Inc designs manufactures and markets smartphones personal computers tablets wearables and accessories worldwide The company offers iPhone a line of smartphones Mac a line of personal computers iPad a line of multipurpose tablets and wearables home and accessories comprising AirPods Apple TV Apple Watch Beats products and HomePod It also provides AppleCare support and cloud services and operates various platforms including the App Store that allow customers to discover and download applications and digital content such as books music video games and podcasts as well as advertising services include thirdparty licensing arrangements and its own advertising platforms In addition the company offers various subscriptionbased services such as Apple Arcade a game subscription service Apple Fitness a personalized fitness service Apple Music which offers users a curated listening experience with ondemand radio stations Apple News a subscription news and magazine service Apple TV which offers exclusive original content Apple Card a cobranded credit card and Apple Pay a cashless payment service as well as licenses its intellectual property The company serves consumers and small and midsized businesses and the education enterprise and government markets It distributes thirdparty applications for its products through the App Store The company also sells its products through its retail and online stores and direct sales force and thirdparty cellular network carriers wholesalers retailers and resellers Apple Inc was founded in 1976 and is headquartered in Cupertino California
AAT,Real Estate,REIT - Diversified,226,American Assets Trust Inc is a full service vertically integrated and selfadministered real estate investment trust REIT headquartered in San Diego California The company has over 55 years of experience in acquiring improving developing and managing premier office retail and residential properties throughout the United States in some of the nations most dynamic highbarriertoentry markets primarily in Southern California Northern California Washington Oregon Texas and Hawaii The companys office portfolio comprises approximately 41 million rentable square feet and its retail portfolio comprises approximately 31 million rentable square feet In addition the company owns one mixeduse property including approximately 94000 rentable square feet of retail space and a 369room allsuite hotel and 2110 multifamily units In 2011 the company was formed to succeed to the real estate business of American Assets Inc a privately held corporation founded in 1967 and as such has significant experience longstanding relationships and extensive knowledge of its core markets submarkets and asset classes
AB,Financial Services,Asset Management,4341,AllianceBernstein Holding LP is a publicly owned investment manager The firm is a related adviser The firm manages separate client focused portfolios for its clients The firm primarily invests in common and preferred stocks warrants and convertible securities government and corporate fxedincome securities commodities currencies real estaterelated assets and infationprotected securities The firm employs quantitative analysis along with longterm purchases shortterm purchases trading short sales margin transactions option strategies including writing covered options uncovered options and spread strategies to make its investments The firm obtains external research to complement its inhouse research The firm was formerly known as Alliance Capital Management Holding LP AllianceBernstein Holding LP was founded in 1967 and is based in NashvilleTennessee
ABBV,Healthcare,Drug Manufacturers - General,55000,AbbVie Inc a researchbased biopharmaceutical company engages in the research and development manufacture commercialization and sale of medicines and therapies worldwide The company offers Humira an injection for autoimmune and intestinal Behets diseases generalized pustular psoriasis and pyoderma gangrenosum Skyrizi to treat autoimmune diseases erythrodermic psoriasis generalized pustular psoriasis and palmoplantar pustulosis Rinvoq to treat inflammatory diseases Imbruvica for the treatment of adult patients with blood cancers VenclextaVenclyxto to treat blood cancers Elahere to treat various cancer and Epkinly to treat lymphoma It also provides facial injectables plastics and regenerative medicine body contouring and skincare products botox therapeutic to treat neurologic diseases Vraylar to treat schizophrenia bipolar disorder and depressive disorder Duopa and Duodopa to treat Parkinsons disease Ubrelvy to treat migraine and Qulipta for episodic and chronic migraine as well as other neuroscience products In addition the company offers Ozurdex for eye diseases LumiganGanfort and AlphaganCombigan for the reduction of elevated intraocular pressure in patients with open angle glaucoma or ocular hypertension Restasis to increase tear production and other eye care products Further it provides MavyretMaviret to treat chronic hepatitis C virus genotype 16 infection Creon a pancreatic enzyme therapy and LinzessConstella to treat irritable bowel syndrome with constipation and chronic idiopathic constipation The company was incorporated in 2012 and is headquartered in North Chicago Illinois
ABCB,Financial Services,Banks - Regional,2691,Ameris Bancorp operates as the bank holding company for Ameris Bank that provides range of banking services to retail and commercial customers It operates through five segments Banking Division Retail Mortgage Division Warehouse Lending Division SBA Division and Premium Finance Division The company offers commercial and retail checking regular interestbearing savings money market individual retirement and certificates of deposit accounts It also provides commercial real estate residential real estate mortgage agricultural and commercial and industrial loans consumer loans including motor vehicle home improvement and home equity loans as well as loans secured by savings accounts and personal credit lines In addition the company originates administers and services commercial insurance premium loans equipment finance loans and small business administration loans It operates full service domestic banking offices and mortgage and loan production offices The company was founded in 1971 and is headquartered in Atlanta Georgia
ABEV,Consumer Defensive,Beverages - Brewers,43000,Ambev SA through its subsidiaries engages in the production distribution and sale of beer draft beer carbonated soft drinks malt and food other alcoholic beverages and nonalcoholic and noncarbonated products in Brazil Central America and Caribbean Latin America South and Canada It offers beer primarily under the Skol Brahma Antarctica Brahva Budweiser Bud Light Beck Leffe Hoegaarden Balboa ICE Balboa Atlas Golden Light Atlas Bucanero Cristal Mayabe Presidente Presidente Light Brahma Light Bohemia The One Corona Modelo Especial Stella Artois Quilmes Clsica Pacea Taquia Huari Becker Cusquea Michelob Ultra Busch Pilsen Ouro Fino Bud 66 Banks Deputy Patricia Labatt Blue Alexander Keiths and Kokanee brands The company also provides carbonated soft drinks bottled water isotonic beverages energy drinks coconut water powdered and natural juices and readytodrink teas under the Guaran Antarctica Gatorade H2OH Pepsi Black Lipton Iced Tea Fusion PepsiCola Canada Dry Squirt Red Rock Red Bull Seven Up Nutrl Bud Light Seltzer Palm Bay and Mikes brands It offers its products through a network of thirdparty distributors and a direct distribution system The company was founded in 1885 and is headquartered in So Paulo Brazil Ambev SA is a subsidiary of Interbrew International BV
ABG,Consumer Cyclical,Auto & Truck Dealerships,None,Asbury Automotive Group Inc together with its subsidiaries operates as an automotive retailer in the United States It offers a range of automotive products and services including new and used vehicles and vehicle repair and maintenance services replacement parts and collision repair services The company also provides finance and insurance products including arranging vehicle financing through third parties and aftermarket products such as extended service contracts guaranteed asset protection debt cancellation prepaid maintenance and disability and accident insurance Asbury Automotive Group Inc was founded in 1996 and is based in Duluth Georgia
ABLLL,None,None,None,None
ABM,Industrials,Specialty Business Services,117000,ABM Industries Incorporated through its subsidiaries engages in the provision of integrated facility infrastructure and mobility solutions in the United States and internationally It operates through Business  Industry Manufacturing  Distribution Education Aviation and Technical Solutions segments The company offers janitorial facilities engineering and parking services for commercial real estate properties including corporate offices for high tech clients sports and entertainment venues and traditional hospitals and nonacute healthcare facilities and vehicle maintenance and other services to rental car providers It also offers integrated facility services engineering and other specialized services in various types of manufacturing distribution and data center facilities In addition the company delivers custodial and landscaping and grounds for public school districts private schools colleges and universities Further it supports airlines and airports with services comprising passenger assistance catering logistics air cabin maintenance and transportation services Additionally the company provides facility infrastructure mechanical and electrical services and electric vehicle power and microgrid systems design installation and maintenance services ABM Industries Incorporated was founded in 1909 and is headquartered in New York New York
ABNB,Consumer Cyclical,Travel Services,7300,Airbnb Inc together with its subsidiaries operates a platform that enables hosts to offer stays and experiences to guests worldwide Its marketplace connects hosts and guests online or through mobile devices to book spaces and experiences It also offers gift cards The company was formerly known as AirBed  Breakfast Inc and changed its name to Airbnb Inc in November 2010 Airbnb Inc was founded in 2007 and is headquartered in San Francisco California
ABR,Real Estate,REIT - Mortgage,647,Arbor Realty Trust Inc invests in a diversified portfolio of structured finance assets in the multifamily singlefamily rental and commercial real estate markets in the United States The company operates through Structured Business and Agency Business segments It primarily invests in bridge and mezzanine loans including junior participating interests in first mortgages and preferred and direct equity as well as real estaterelated joint ventures real estaterelated notes and various mortgagerelated securities In addition the company offers bridge financing products to borrowers who seek shortterm capital to be used in an acquisition of property financing by making preferred equity investments in entities that directly or indirectly own real property mezzanine financing in the form of loans that are subordinate to a conventional first mortgage loan and senior to the borrowers equity in a transaction junior participation financing in the form of a junior participating interest in the senior debt and financing products to borrowers who are looking to acquire conventional workforce and affordable singlefamily housing Further it underwrites originates sells and services multifamily mortgage loans through conduitcommercial mortgagebacked securities programs The company qualifies as a real estate investment trust for federal income tax purposes It generally would not be subject to federal corporate income taxes if it distributes at least 90 of its taxable income to its stockholders Arbor Realty Trust Inc was incorporated in 2003 and is headquartered in Uniondale New York
ABT,Healthcare,Medical Devices,114000,Abbott Laboratories together with its subsidiaries discovers develops manufactures and sells health care products worldwide It operates in four segments Established Pharmaceutical Products Diagnostic Products Nutritional Products and Medical Devices The company provides generic pharmaceuticals for the treatment of pancreatic exocrine insufficiency irritable bowel syndrome or biliary spasm intrahepatic cholestasis or depressive symptoms gynecological disorder hormone replacement therapy dyslipidemia hypertension hypothyroidism Mnires disease and vestibular vertigo pain fever inflammation and migraine as well as provides antiinfective clarithromycin influenza vaccine and products to regulate physiological rhythm of the colon It also offers laboratory and transfusion medicine systems in the areas of immunoassay clinical chemistry hematology and transfusion molecular diagnostics polymerase chain reaction instrument systems that automate the extraction purification and preparation of DNA and RNA from patient samples and detect and measure infectious agents point of care systems cartridges for testing blood gas chemistry electrolytes coagulation and immunoassay rapid diagnostics lateral flow testing products molecular pointofcare testing for HIV SARSCoV2 influenza A and B RSV and strep A cardiometabolic test systems drug and alcohol test and remote patient monitoring and consumer selftest systems and informatics and automation solutions for laboratories In addition the company provides pediatric and adult nutritional products rhythm management electrophysiology heart failure vascular and structural heart devices for the treatment of cardiovascular diseases diabetes care products such as glucose and blood glucose monitoring systems and neuromodulation devices for the management of chronic pain and movement disorders Abbott Laboratories was founded in 1888 and is based in North Chicago Illinois
ACA,Industrials,Engineering & Construction,6075,Arcosa Inc together with its subsidiaries provides infrastructurerelated products and solutions for the construction engineered structures and transportation markets in the United States It operates through three segments Construction Products Engineered Structures and Transportation Products The Construction Products segment offers natural and recycled aggregates specialty materials and construction site support equipment including trench shields and shoring products for residential and nonresidential construction and specialtyother products as well as for infrastructure construction The Engineered Structures segment offers utility structures wind towers traffic structures and telecommunication structures for electricity transmission and distribution wind power generation highway road construction and wireless communication markets The Transportation Products segment offers inland barges fiberglass barge covers winches marine hardware and steel components for railcars and transportation equipment cast components for industrial and mining sectors and axles circular forgings and coupling devices for freight tank locomotive and passenger rail transportation equipment as well as other industrial uses Arcosa Inc was incorporated in 2018 and is headquartered in Dallas Texas
