Symbol,MarketPrice,FiftyTwoWeekLow,FiftyTwoWeekHigh,MarketCap,SharesOutstanding,TrailingPE,ForwardPE,EPSTrailingTwelveMonths,ForwardEPS,FiftyDayAverage,TwoHundredDayAverage
AA,34.4,24.86,47.77,8887412736,258355008,132.30771,10.783699,0.26,3.19,37.3634,38.10835
AAL,15.23,9.07,19.1,10014881792,657576000,12.282258,7.5396037,1.24,2.02,17.1486,13.2888
AAOI,27.04,6.7,44.5,1335581312,49392800,nan,37.041096,-2.04,0.73,31.685,18.85715
AAON,103.63,70.28,144.07,8423004672,81279600,45.451756,35.3686,2.28,2.93,121.8354,103.17815
AAP,43.44,35.59,88.56,2594866688,59734500,54.98734,16.148699,0.79,2.69,46.179,51.1052
AAPL,245.55,164.08,260.1,3688676720640,15022100480,39.03816,29.548735,6.29,8.31,240.636,224.0746
AAT,21.83,20.03,29.15,1687891200,61138200,23.223404,30.319443,0.94,0.72,24.8684,25.0272
AB,35.73,30.57,41.37,3949236736,110530000,9.630728,9.897507,3.71,3.61,37.1586,35.3182
ABBV,202.08,153.58,207.32,356741939200,1765350016,84.5523,16.659521,2.39,12.13,180.1906,180.7845
ABCB,63.46,44.23,74.56,4383093248,69068600,12.22736,12.616302,5.19,5.03,64.8148,59.86525
ABEV,1.92,1.76,2.72,30396864512,15688800256,12.799999,10.105263,0.15,0.19,1.9124,2.1631
ABG,276.37,202.98,312.56,5413397504,19587500,12.848442,9.980859,21.51,27.69,264.7144,243.89474
ABLLL,26.55,24.9,38.5,nan,nan,nan,nan,nan,nan,27.705,26.416716
ABM,52.64,40.16,59.78,3274902784,62213200,41.125,14.382513,1.28,3.66,52.9506,52.4085
ABNB,146.07,110.38,170.1,90759143424,432876992,35.453888,32.460003,4.12,4.5,135.0567,135.91142
ABR,12.0,11.87,15.94,2263307776,188608992,9.022556,7.8431373,1.33,1.53,13.746,14.0834
ABT,134.92,99.71,135.41,234013343744,1734460032,17.659685,26.147287,7.64,5.16,120.0868,112.7664
ACA,92.96,72.75,113.43,4534291456,48776800,35.346004,21.031673,2.63,4.42,100.372,93.1466
ACAD,19.95,14.15,26.56,3319520512,166392000,25.576925,24.32927,0.78,0.82,18.1298,16.5624
ACDC,7.33,5.16,9.75,1173877504,160147008,nan,-30.541668,-1.46,-0.24,7.8213,7.4891
ACGL,88.13,85.79,116.47,33172131840,376400000,7.875782,9.748894,11.19,9.04,92.342,100.3456
ACGLN,18.57,17.35,21.213,nan,nan,3.9586442,nan,4.691,nan,18.5346,19.589575
ACGLO,21.64,20.78,24.5,12618046464,402939008,4.6130886,nan,4.691,nan,21.73444,22.69737
ACHC,39.65,36.5,87.77,3682906368,92885400,13.000001,10.803815,3.05,3.67,42.0394,57.9224
ACHR,9.13,2.821,12.475,4952595968,542452992,nan,-9.222222,-1.31,-0.99,9.4204,5.2666
ACI,20.55,17.0,21.75,11906238464,579379008,11.544944,9.052863,1.78,2.27,19.95,19.63765
ACIW,50.56,30.61,59.71,5303187968,104889000,23.962088,24.906404,2.11,2.03,53.0782,47.42155
ACLS,63.11,56.32,158.61,2042555136,32365000,10.261788,11.665435,6.15,5.41,69.7086,99.1162
ACLX,63.75,47.88,107.37,3447262208,54074700,nan,-28.333334,-0.71,-2.25,71.7484,70.405525
ACM,97.52,82.23,118.56,12939928576,132690000,22.52194,19.543087,4.33,4.99,107.3798,99.8805
ACN,364.26,278.69,398.35,227837345792,625480000,30.53311,25.889128,11.93,14.07,367.313,339.9684
ACT,32.92,26.5,37.42,5056149504,153588992,7.5331807,7.838095,4.37,4.2,33.19,33.4377
ACVA,17.585,14.76,23.456,3132398080,168764992,nan,-135.26923,-0.48,-0.13,21.2383,19.381475
ADBE,444.32,403.75,587.75,193412497408,435300000,35.91916,21.621412,12.37,20.55,450.292,501.23074
ADC,72.83,54.28,78.39,7836216832,107249000,40.915733,40.016483,1.78,1.82,71.8112,70.08025
ADEA,17.23,9.6801,17.41,1852380032,107509000,30.22807,12.669117,0.57,1.36,13.4628,12.216875
ADI,238.91,182.57,247.1,118493626368,495976000,76.57372,31.685677,3.12,7.54,215.1158,222.2013
ADM,48.19,44.92,66.08,23060553728,478534016,13.202739,9.5049305,3.65,5.07,49.8034,56.83735
ADMA,15.84,5.08,23.64,3744417536,236390000,58.666664,22.0,0.27,0.72,17.252,15.638625
ADNT,16.94,15.71,35.94,1421820032,83932704,nan,4.9387755,-0.02,3.43,17.4796,21.88605
ADP,310.76,231.27,313.72,126439235584,406871008,32.438416,28.588778,9.58,10.87,298.81,275.72766
