Symbol,PeriodType,MarketCap,FowardPeRatio,PeRatio,PegRatio,PsRatio,PbRatio,EnterpriseValue,EnterprisesValueEBITDARatio,EnterprisesValueRevenueRatio
CGON,TTM,2034184916.0,nan,nan,nan,2638.321003,3.789677,1493770916.0,nan,2183.8756
CGON,2024-09-30 00:00:00,2530815964.0,nan,nan,nan,3869.348025,4.581832,1978290964.0,nan,3043.5246
CGON,2024-06-30 00:00:00,2103829535.0,nan,nan,nan,3902.980474,3.698899,1537725535.0,nan,2852.9231
CGON,2024-03-31 00:00:00,2925331462.0,nan,nan,nan,931.999798,nan,3046008462.0,nan,14931.414
CGNX,TTM,5770338304.0,31.0559,54.790323,nan,6.4117,3.802517,5594505304.0,37.8636,6.1175
CGNX,2024-12-31 00:00:00,6111763240.0,30.4878,70.313725,nan,7.025725,3.900231,5901066240.0,46.8603,6.6943
CGNX,2024-09-30 00:00:00,6946368799.0,32.6797,90.0,nan,8.294486,4.610228,6731476799.0,56.7784,7.9757
CGNX,2024-06-30 00:00:00,8026917738.0,60.241,82.035088,nan,9.552224,5.385065,7825889738.0,55.9836,9.2371
CGNX,2024-03-31 00:00:00,7288654752.0,44.4444,65.261538,nan,8.782296,4.839272,7035208752.0,48.659,8.3998
CGNX,2023-12-31 00:00:00,7185210920.0,40.6504,45.868132,nan,8.23546,4.811603,6740994920.0,35.6357,7.6575
CGAU,TTM,1219184084.0,11.0011,16.457143,nan,1.025723,0.73119,611487084.0,1.9996,0.5035
CGAU,2024-09-30 00:00:00,1527094427.0,11.2613,11.737705,nan,1.224142,0.878802,953022427.0,2.3017,0.7492
CGAU,2024-06-30 00:00:00,1439571160.0,10.4932,25.846154,nan,1.248799,0.83852,810890160.0,2.5339,0.6906
CGAU,2024-03-31 00:00:00,1267011029.0,16.4745,nan,nan,1.178921,0.759605,675444029.0,4.6911,0.6169
CGAU,2023-12-31 00:00:00,1290006805.0,11.5207,nan,nan,1.352703,0.749442,800080805.0,19.821643,0.8306
CGAU,2023-09-30 00:00:00,1068350522.0,7.0822,nan,nan,1.392386,0.631691,666430522.0,4.41041,0.8347
CG,TTM,15531723969.0,9.6618,15.523466,0.9949,4.651146,2.770109,nan,nan,7.356
CG,2024-12-31 00:00:00,18059326867.0,11.1111,168.3,1.1441,6.798227,2.850542,nan,nan,12.0964
CG,2024-09-30 00:00:00,15401755098.0,9.6154,nan,1.0133,9.836834,3.06204,nan,nan,16.3137
CG,2024-06-30 00:00:00,14449201954.0,10.0301,nan,1.2313,11.283482,2.821793,nan,nan,18.415
CG,2024-03-31 00:00:00,16931988352.0,11.8906,nan,1.4583,12.802506,3.24631,nan,nan,19.7762
CG,2023-12-31 00:00:00,14680774917.0,10.2459,70.155172,8.4706,6.328281,2.483465,nan,nan,10.1789
CG,2023-09-30 00:00:00,nan,nan,26.928571,nan,nan,nan,nan,nan,nan
CG,2023-06-30 00:00:00,nan,nan,15.509709,nan,nan,nan,nan,nan,nan
CFR,TTM,8294669682.0,14.7493,14.558061,nan,4.021028,2.210064,nan,nan,4.1931
CFR,2024-12-31 00:00:00,8618447250.0,15.3374,16.635688,nan,4.251997,2.084268,nan,nan,4.4234
CFR,2024-09-30 00:00:00,7151344479.0,13.0039,13.641463,1.8581,3.592354,2.031428,nan,nan,3.7125
CFR,2024-06-30 00:00:00,6530161460.0,12.21,12.013002,1.745,3.29654,1.861926,nan,nan,3.4351
CFR,2024-03-31 00:00:00,7228931442.0,13.7741,12.37033,2.2964,3.648365,2.02542,nan,nan,3.7804
CFR,2023-12-31 00:00:00,6948479643.0,13.5135,10.381818,4.8258,3.516751,2.321154,nan,nan,3.6351
CFR,2023-09-30 00:00:00,nan,nan,nan,59.3892,nan,nan,nan,nan,nan
CFLT,TTM,8889835998.0,74.0741,nan,0.5914,8.889603,9.248435,8089253998.0,nan,8.3945
CFLT,2024-12-31 00:00:00,9170737431.0,77.5194,nan,0.6213,9.674039,9.815435,8424578431.0,nan,9.2011
CFLT,2024-09-30 00:00:00,6670849322.0,59.8802,nan,0.4683,7.338905,7.633739,5853027322.0,nan,6.7619
CFLT,2024-06-30 00:00:00,9385666693.0,140.8451,nan,1.0986,11.032489,11.2581,8591318693.0,nan,10.4787
CFLT,2024-03-31 00:00:00,9541219288.0,169.4915,nan,nan,11.813089,11.948019,8754043288.0,-81.782916,11.2672
CFLT,2023-12-31 00:00:00,7204276825.0,126.5823,nan,nan,9.428885,9.23809,6446032825.0,-79.820112,8.8008
CFLT,2023-09-30 00:00:00,nan,nan,nan,nan,nan,nan,nan,-78.689207,nan
CFLT,2023-06-30 00:00:00,nan,nan,nan,nan,nan,nan,nan,-86.120128,nan
CFG,TTM,18202383888.0,10.7181,13.742574,nan,2.422911,0.822112,nan,nan,4.1976
CFG,2024-12-31 00:00:00,19278178352.0,11.5207,17.160784,nan,2.57447,0.844793,nan,nan,4.5285
CFG,2024-09-30 00:00:00,18285043667.0,9.99,15.498113,nan,2.41,0.840421,nan,nan,4.229
CFG,2024-06-30 00:00:00,16394369555.0,11.0254,12.960432,nan,2.10629,0.750458,nan,nan,4.0017
CFG,2024-03-31 00:00:00,16635312447.0,10.2987,11.594249,nan,2.103501,0.745182,nan,nan,3.9666
CFG,2023-12-31 00:00:00,15450629126.0,9.1075,8.20297,nan,1.886048,0.74085,nan,nan,4.1246
CFG,2023-06-30 00:00:00,nan,nan,nan,1.3162,nan,nan,nan,nan,nan
CF,TTM,13076373615.0,12.6904,11.44362,0.6891,2.347943,2.623144,14708373615.0,5.2047,2.4778
CF,2024-12-31 00:00:00,14847380342.0,12.87,13.521395,0.6904,2.637462,2.858564,16220380342.0,5.7174,2.7111
CF,2024-09-30 00:00:00,14957129358.0,15.1745,15.239787,30.9805,2.749215,2.739401,16357129358.0,6.1102,2.779
CF,2024-06-30 00:00:00,13547814736.0,12.2249,12.25124,18.817,2.332303,2.457429,14991814736.0,5.3811,2.4621
CF,2024-03-31 00:00:00,15620712329.0,13.5135,10.573062,nan,2.431926,2.683102,16820712329.0,5.1581,2.5367
CF,2023-12-31 00:00:00,15188991829.0,11.6822,7.388476,nan,2.026898,2.614185,15181991829.0,3.8088,1.9799
CET,TTM,1319466825.0,nan,4.492611,nan,4.454655,0.840457,nan,nan,4.4646
CERT,TTM,1887128323.0,25.7732,nan,nan,4.880731,1.78257,2019842323.0,27.9103,5.2443
CERT,2024-12-31 00:00:00,1714519335.0,21.1416,nan,nan,4.571654,1.627597,1787969335.0,32.3392,4.7961
CERT,2024-09-30 00:00:00,1884141470.0,25.0627,nan,nan,5.142609,1.805769,1967375470.0,1362.4484,5.4115
CERT,2024-06-30 00:00:00,2227654096.0,31.746,nan,nan,6.115867,2.11333,2305301096.0,120.5638,6.3914
CERT,2024-03-31 00:00:00,2864216760.0,40.6504,nan,nan,8.019993,2.73606,2931832760.0,122.9589,8.2741
CERT,2023-12-31 00:00:00,2811669680.0,35.9712,nan,nan,7.918252,2.673381,2842718680.0,75.1307,8.0539
CERT,2023-09-30 00:00:00,nan,nan,121.166667,nan,nan,nan,nan,nan,nan
CERT,2023-06-30 00:00:00,nan,nan,202.333333,nan,nan,nan,nan,nan,nan
CEPU,TTM,2112342399.0,nan,10.343789,nan,5.400275,1.12126,2248759616.0,7.2566,6.5663
CEPU,2024-09-30 00:00:00,1844151449.0,nan,8.386313,nan,3.877808,0.898963,2060190012.0,6.6308,5.6118
CEPU,2024-06-30 00:00:00,2045448348.0,nan,7.260782,nan,3.680893,0.967214,2352238503.0,7.0732,6.3642
CEPU,2024-03-31 00:00:00,1778272909.0,nan,7.974875,nan,3.765319,1.414297,2048609515.0,2.9738,5.6038
CEPU,2023-12-31 00:00:00,1676153343.0,nan,nan,nan,11.534277,2.042033,1691649088.0,21.0498,14.2403
CEPU,2023-09-30 00:00:00,2033469151.0,nan,44.873935,nan,3.406621,0.768879,2102959673.0,14.0399,8.1789
CEPU,2023-06-30 00:00:00,nan,nan,28.406763,nan,nan,nan,nan,nan,nan
CENX,TTM,1722193799.0,nan,5.706422,nan,0.82698,2.480118,2217493799.0,4.942,0.9987
CENX,2024-12-31 00:00:00,1699717654.0,nan,5.784127,nan,0.842644,2.606529,2152917654.0,4.8919,1.0244
CENX,2024-09-30 00:00:00,1506125238.0,nan,7.691943,nan,0.736502,2.503949,1945225238.0,5.7739,0.9229
CENX,2024-06-30 00:00:00,1552733291.0,nan,7.579186,nan,0.741814,2.58251,1987233291.0,5.9874,0.9363
CENX,2024-03-31 00:00:00,1426590408.0,nan,nan,nan,0.650698,4.011981,1816990408.0,41.8661,0.8314
CENX,2023-12-31 00:00:00,1121792608.0,nan,nan,nan,0.508221,3.37509,1563492608.0,25.800208,0.7097
CENTA,TTM,2191827244.0,14.8368,17.928571,nan,0.67365,1.407066,2986145244.0,9.6592,0.9267
CENTA,2024-12-31 00:00:00,2233939835.0,13.9665,20.401235,nan,0.690439,1.390474,2900836835.0,9.9768,0.9064
CENTA,2024-09-30 00:00:00,2171940461.0,12.3153,14.470046,nan,0.639229,1.322543,2995599461.0,8.972,0.913
